Name,Team,Url,Type,ValueinCR,Full Name,Born,Age,National Side,Batting Style,Bowling,Sport,MatchPlayed,InningsBatted,NotOuts,RunsScored,HighestInnScore,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,Best,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc,lower
Mayank Agarwal,PBKS,https://sports.ndtv.com/cricket/players/1430-mayank-agarwal-playerprofile,Batsman ,12.0,Mayank Anurag Agarwal,"February 16, 1991 Bangalore, Karnataka","31 Years, 0 Months, 28 Days",India,Right Handed,Off break,,100.0,95.0,4.0,2131.0,106 v RR,1.0,11.0,203.0,85.0,23.41,135.47,40.0,0.0,6.0,4.0,,,,,,,,,,,,,mayank agarwal
Liam Livingstone,PBKS,https://sports.ndtv.com/cricket/players/64363-liam-stephen-livingstone-playerprofile,All-Rounder ,11.5,Liam Stephen Livingstone,"August 4, 1993 Barrow-in-Furness, Cumberland","28 Years, 7 Months, 11 Days",England,Right Handed,Leg break,IPL,9.0,9.0,1.0,112.0,44 v SRH,0.0,0.0,9.0,6.0,14.0,125.84,7.0,0.0,0.0,0.0,1.0,1.0,0.0,13.0,0.0,0/13 v MI,0.0,0.0,,13.0,,1.0,liam livingstone
Kagiso Rabada,PBKS,https://sports.ndtv.com/cricket/players/64042-kagiso-rabada-playerprofile,Bowler ,9.25,Kagiso Rabada,"May 25, 1995 Johannesburg","26 Years, 9 Months, 22 Days",South Africa,Left Handed,Right-arm fast,IPL,50.0,18.0,8.0,138.0,44 v MI,0.0,0.0,11.0,4.0,13.8,102.98,23.0,0.0,5.0,2.0,50.0,190.0,2.0,1560.0,76.0,4/21 v RCB,4.0,0.0,20.52,8.21,15.0,50.0,kagiso rabada
Shahrukh Khan,PBKS,https://sports.ndtv.com/cricket/players/113433-shahrukh-khan-playerprofile,All-Rounder ,9.0,Masood Shahrukh Khan,"May 27, 1995 Chennai, Tamil Nadu","26 Years, 9 Months, 20 Days",India,Right Handed,Off break,,11.0,10.0,3.0,153.0,47 v CSK,0.0,0.0,9.0,10.0,21.85,134.21,4.0,0.0,1.0,1.0,,,,,,,,,,,,,shahrukh khan
Shikhar Dhawan,PBKS,https://sports.ndtv.com/cricket/players/737-shikhar-dhawan-playerprofile,Batsman ,8.25,Shikhar Dhawan,"December 5, 1985 Delhi","36 Years, 3 Months, 10 Days",India,Left Handed,Off break,IPL,192.0,191.0,25.0,5784.0,106* v PBKS,2.0,44.0,654.0,124.0,34.84,126.64,82.0,0.0,11.0,16.0,6.0,8.0,0.0,66.0,4.0,1/7 v DC,0.0,0.0,16.5,8.25,12.0,6.0,shikhar dhawan
Jonny Bairstow,PBKS,https://sports.ndtv.com/cricket/players/1551-jonny-bairstow-playerprofile,Wicket-Keeper ,6.75,Jonathan Marc Bairstow,"September 26, 1989 Bradford, Yorkshire","32 Years, 5 Months, 19 Days",England,Right Handed,Right-arm medium,,28.0,28.0,3.0,1038.0,114 v RCB,1.0,7.0,99.0,46.0,41.52,142.19,18.0,4.0,2.0,0.0,,,,,,,,,,,,,jonny bairstow
Odean Smith,PBKS,https://sports.ndtv.com/cricket/players/108548-odean-smith-playerprofile,All-Rounder ,6.0,Odean Fabian Smith,"November 1, 1996 St. Elizabeth, Jamaica","25 Years, 4 Months, 14 Days",West Indies,Right Handed,Right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,odean smith
Rahul Chahar,PBKS,https://sports.ndtv.com/cricket/players/107512-rahul-chahar-playerprofile,Bowler ,5.25,Rahul Desraj Chahar,"August 4, 1999 Bharaatpur, Rajasthan","22 Years, 7 Months, 12 Days",India,Right Handed,Leg break googly,IPL,42.0,11.0,4.0,31.0,10 v SRH,0.0,0.0,3.0,0.0,4.42,96.87,11.0,0.0,4.0,1.0,41.0,150.0,0.0,1117.0,43.0,4/27 v KKR,3.0,0.0,25.97,7.44,20.93,41.0,rahul chahar
Arshdeep Singh,PBKS,https://sports.ndtv.com/cricket/players/108557-arshdeep-singh-playerprofile,Bowler ,4.0,Arshdeep Singh,"February 5, 1999 Guna, Madhya Pradesh","23 Years, 1 Months, 8 Days",India,Left Handed,Left-arm medium fast,IPL,23.0,3.0,2.0,2.0,1* v KKR,0.0,0.0,0.0,0.0,2.0,33.33,6.0,0.0,1.0,0.0,23.0,76.1,1.0,669.0,30.0,5/32 v RR,3.0,1.0,22.3,8.78,15.23,23.0,arshdeep singh
Harpreet Brar,PBKS,https://sports.ndtv.com/cricket/players/110975-harpreet-brar-playerprofile,All-Rounder ,3.8,Harpreet Brar,"September 16, 1995 Moga, Punjab","26 Years, 6 Months, 0 Days",India,Left Handed,Slow left-arm orthodox,IPL,10.0,6.0,6.0,84.0,25* v RCB,0.0,0.0,5.0,3.0,,120.0,2.0,0.0,0.0,0.0,10.0,32.0,1.0,228.0,5.0,3/19 v RCB,1.0,0.0,45.6,7.12,38.4,10.0,harpreet brar
Vaibhav Arora,PBKS,https://sports.ndtv.com/cricket/players/113442-vaibhav-arora-playerprofile,Bowler ,2.0,Vaibhav Gopal Arora,"December 14, 1997 Himachal Pradesh","24 Years, 3 Months, 1 Days",India,Right Handed,Right-arm fast medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vaibhav arora
Raj Bawa,PBKS,https://sports.ndtv.com/cricket/players/114984-raj-angad-bawa-playerprofile,All-Rounder ,2.0,Raj Angad Bawa,"November 12, 2002 Nahan, Himachal Pradesh","19 Years, 4 Months, 3 Days",India,Left Handed,Right-arm medium fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raj bawa
Nathan Ellis,PBKS,https://sports.ndtv.com/cricket/players/113454-nathan-ellis-playerprofile,Bowler ,0.75,Nathan Ellis,"September 22, 1994 Greenacre, New South Wales","27 Years, 5 Months, 23 Days",Australia,Right Handed,Right-arm fast medium,IPL,3.0,2.0,1.0,18.0,12 v SRH,0.0,0.0,0.0,1.0,18.0,112.5,,,0.0,0.0,3.0,11.0,0.0,90.0,1.0,1/12 v MI,0.0,0.0,90.0,8.18,66.0,3.0,nathan ellis
Prabhsimran Singh,PBKS,https://sports.ndtv.com/cricket/players/110976-simran-singh-playerprofile,Wicket-Keeper ,0.6,Prabhsimran Singh,"August 10, 2000 ","21 Years, 7 Months, 5 Days",India,Right Handed,,,5.0,5.0,0.0,50.0,16 v SRH,0.0,0.0,4.0,2.0,10.0,90.9,2.0,0.0,0.0,0.0,,,,,,,,,,,,,prabhsimran singh
Rishi Dhawan,PBKS,https://sports.ndtv.com/cricket/players/1131-rishi-dhawan-playerprofile,All-Rounder ,0.55,Rishi Dhawan,"February 19, 1990 Mandi, Himachal Pradesh","32 Years, 0 Months, 24 Days",India,Right Handed,Right-arm medium fast,IPL,26.0,17.0,10.0,153.0,25* v CSK,0.0,0.0,13.0,4.0,21.85,113.33,6.0,0.0,2.0,1.0,25.0,81.2,1.0,640.0,18.0,2/14 v RCB,0.0,0.0,35.55,7.86,27.11,25.0,rishi dhawan
Bhanuka Rajapaksa,PBKS,https://sports.ndtv.com/cricket/players/43735-pramod-bhanuka-bandara-rajapaksa-playerprofile,Batsman ,0.5,Pramod Bhanuka Bandara Rajapaksa,"October 24, 1991","30 Years, 4 Months, 23 Days",Sri Lanka,,,Cricket,,,,,,,,,,,,,,,,,,,,,,,,,,,,bhanuka rajapaksa
Sandeep Sharma,PBKS,https://sports.ndtv.com/cricket/players/1431-sandeep-sharma-playerprofile,Bowler ,0.5,Sandeep Sharma,"May 18, 1993 Patiala, Punjab","28 Years, 9 Months, 28 Days",India,Right Handed,Right-arm medium,IPL,99.0,25.0,19.0,52.0,9 v RCB,0.0,0.0,4.0,0.0,8.66,81.25,12.0,0.0,9.0,1.0,99.0,366.2,8.0,2849.0,112.0,4/20 v DC,9.0,0.0,25.43,7.77,19.62,99.0,sandeep sharma
Benny Howell,PBKS,https://sports.ndtv.com/cricket/players/45414-benny-alexander-cameron-howell-playerprofile,All-Rounder ,0.4,Benny Alexander Cameron Howell,"October 05, 1988","33 Years, 5 Months, 10 Days",England,,,Cricket,,,,,,,,,,,,,,,,,,,,,,,,,,,,benny howell
Ishan Porel,PBKS,https://sports.ndtv.com/cricket/players/108572-ishan-porel-playerprofile,Bowler ,0.25,Ishan Chandranath Porel,"September 5, 1998 Hooghly, Bengal","23 Years, 6 Months, 10 Days",India,Right Handed,Right-arm medium,IPL,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,1.0,4.0,0.0,39.0,1.0,1/39 v RR,0.0,0.0,39.0,9.75,24.0,1.0,ishan porel
Prerak Mankad,PBKS,https://sports.ndtv.com/cricket/players/107510-prerak-mankad-playerprofile,All-Rounder ,0.2,Prerak Nileshkumar Mankad,"April 23, 1994 Sirohi, Saurashtra","27 Years, 10 Months, 22 Days",India,Right Handed,Right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prerak mankad
Atharva Taide,PBKS,https://sports.ndtv.com/cricket/players/110595-atharwa-taide-playerprofile,All-Rounder ,0.2,Atharva Taide,"April 26, 2000 Akola Maharashtra","21 Years, 10 Months, 19 Days",India,Left Handed,Slow left-arm orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,atharva taide
Ansh Patel,PBKS,https://sports.ndtv.com/cricket/players/113486-ansh-p-patel-playerprofile,All-Rounder ,0.2,Ansh Pradipkumar Patel,"February 19, 2002 Vadodara, Gujarat","20 Years, 0 Months, 24 Days",India,Right Handed,Slow left-arm orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ansh patel
Jitesh Sharma,PBKS,https://sports.ndtv.com/cricket/players/106754-jitesh-sharma-playerprofile,Wicket-Keeper ,0.2,Jitesh Mohan Sharma,"October 22, 1993 Amrawati, Maharashtra","28 Years, 4 Months, 24 Days",India,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jitesh sharma
Writtick Chatterjee,PBKS,https://sports.ndtv.com/cricket/players/64856-writtick-bijoy-chatterjee-playerprofile,All-Rounder ,0.2,Writtick Bijoy Chatterjee,"September 28, 1992 Jamtara, Bengal","29 Years, 5 Months, 17 Days",India,Right Handed,Off break,,,,,,,,,,,,,,,,,,,,,,,,,,,,,writtick chatterjee
Baltej Singh,PBKS,https://sports.ndtv.com/cricket/players/59711-baltej-singh-dhanda-playerprofile,Bowler ,0.2,Baltej Singh Dhanda,"November 4, 1990 Ludhiana, Punjab","31 Years, 4 Months, 11 Days",India,Right Handed,Right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baltej singh
Kane Williamson,SRH,https://sports.ndtv.com/cricket/players/1058-kane-williamson-playerprofile,Batsman ,14.0,Kane Stuart Williamson,"August 8, 1990 Tauranga","31 Years, 7 Months, 7 Days",New Zealand,Right Handed,Off break,IPL,63.0,62.0,15.0,1885.0,89 v DC,0.0,17.0,165.0,56.0,40.1,131.26,29.0,0.0,1.0,3.0,2.0,3.0,0.0,31.0,0.0,0/7 v KKR,0.0,0.0,,10.33,,2.0,kane williamson
Nicholas Pooran,SRH,https://sports.ndtv.com/cricket/players/1720-nicolas-pooran-playerprofile,Wicket-Keeper ,10.75,Nicholas Pooran,"October 2, 1995 Trinidad","26 Years, 5 Months, 14 Days",West Indies,Left Handed,,,33.0,31.0,4.0,606.0,77 v SRH,0.0,2.0,35.0,44.0,22.44,154.98,11.0,0.0,5.0,1.0,,,,,,,,,,,,,nicholas pooran
Washington Sundar,SRH,https://sports.ndtv.com/cricket/players/108593-washington-sundar-playerprofile,All-Rounder ,8.75,Washington Sundar,"October 5, 1999 Chennai, Tamil Nadu","22 Years, 5 Months, 11 Days",India,Left Handed,Off break,IPL,42.0,26.0,10.0,217.0,35 v RR,0.0,0.0,17.0,6.0,13.56,111.28,9.0,0.0,4.0,0.0,41.0,125.0,1.0,867.0,27.0,3/16 v MI,2.0,0.0,32.11,6.93,27.77,41.0,washington sundar
Rahul Tripathi,SRH,https://sports.ndtv.com/cricket/players/12218-rahul-ajay-tripathi-playerprofile,Batsman ,8.5,Rahul Ajay Tripathi,"March 2, 1991 Ranchi, Jharkhand","31 Years, 0 Months, 14 Days",India,Right Handed,Right-arm medium,IPL,62.0,60.0,7.0,1385.0,93 v KKR,0.0,7.0,136.0,48.0,26.13,136.31,23.0,0.0,1.0,4.0,1.0,1.0,0.0,12.0,0.0,0/12 v KKR,0.0,0.0,,12.0,,1.0,rahul tripathi
Romario Shepherd,SRH,https://sports.ndtv.com/cricket/players/112280-romario-shepherd-playerprofile,All-Rounder ,7.75,Romario Shepherd,"November 26, 1994 Guyana","27 Years, 3 Months, 19 Days",West Indies,Right Handed,Right-arm medium fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,romario shepherd
Abhishek Sharma,SRH,https://sports.ndtv.com/cricket/players/108562-abhishek-sharma-playerprofile,All-Rounder ,6.5,Abhishek Sharma,"September 4, 2000 Amritsar, Punjab","21 Years, 6 Months, 11 Days",India,Left Handed,Slow left-arm orthodox,IPL,22.0,20.0,6.0,241.0,46* v RCB,0.0,0.0,17.0,12.0,17.21,139.3,5.0,0.0,0.0,1.0,14.0,22.0,0.0,176.0,7.0,2/4 v MI,0.0,0.0,25.14,8.0,18.85,14.0,abhishek sharma
Bhuvneshwar Kumar,SRH,https://sports.ndtv.com/cricket/players/1250-bhuvneshwar-kumar-playerprofile,Bowler ,4.2,Bhuvneshwar Kumar Singh,"February 5, 1990 Meerut, Uttar Pradesh","32 Years, 1 Months, 7 Days",India,Right Handed,Right-arm medium,IPL,132.0,51.0,25.0,217.0,24* v CSK,0.0,0.0,20.0,3.0,8.34,96.87,27.0,0.0,9.0,4.0,132.0,491.3,9.0,3588.0,142.0,5/19 v PBKS,9.0,1.0,25.26,7.3,20.76,132.0,bhuvneshwar kumar
Marco Jansen,SRH,https://sports.ndtv.com/cricket/players/113406-marco-jansen-playerprofile,All-Rounder ,4.2,Marco Jansen,"May 1, 2000 Potchefstroom, North West, South Africa","21 Years, 10 Months, 14 Days",South Africa,Right Handed,Left-arm fast,IPL,2.0,2.0,0.0,0.0,0 v KKR,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,6.0,0.0,45.0,2.0,2/28 v RCB,0.0,0.0,22.5,7.5,18.0,2.0,marco jansen
Umran Malik,SRH,https://sports.ndtv.com/cricket/players/113473-umran-malik-playerprofile,Bowler ,4.0,Umran Malik,"November 22, 1999 Srinagar, Jammu & Kashmir","22 Years, 3 Months, 24 Days",India,Right Handed,Right-arm medium fast,IPL,3.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,3.0,12.0,0.0,96.0,2.0,1/21 v RCB,0.0,0.0,48.0,8.0,36.0,3.0,umran malik
Abdul Samad,SRH,https://sports.ndtv.com/cricket/players/113179-abdul-samad-playerprofile,Batsman ,4.0,Abdul Samad Farooq,"October 28, 2001 Kala Kot, Jammu & Kashmir","20 Years, 4 Months, 18 Days",India,Right Handed,Leg break,IPL,23.0,18.0,4.0,222.0,33 v DC,0.0,0.0,12.0,14.0,15.85,146.05,13.0,0.0,2.0,1.0,4.0,8.0,0.0,105.0,2.0,1/9 v PBKS,0.0,0.0,52.5,13.12,24.0,4.0,abdul samad
T Natarajan,SRH,https://sports.ndtv.com/cricket/players/107525-t-natarajan-playerprofile,Bowler ,4.0,Thangarasu Natarajan,"May 27, 1991 Salem","30 Years, 9 Months, 20 Days",India,Left Handed,Left-arm medium,IPL,24.0,4.0,4.0,3.0,3* v RCB,0.0,0.0,0.0,0.0,,60.0,3.0,0.0,3.0,0.0,24.0,83.3,1.0,688.0,20.0,2/24 v PBKS,0.0,0.0,34.4,8.23,25.05,24.0,t natarajan
Kartik Tyagi,SRH,https://sports.ndtv.com/cricket/players/108595-kartik-tyagi-playerprofile,Bowler ,4.0,Kartik Tyagi,"November 8, 2000 Hapur, Uttar Pradesh","21 Years, 4 Months, 7 Days",India,Right Handed,Right-arm medium fast,IPL,14.0,5.0,3.0,6.0,2* v DC,0.0,0.0,0.0,0.0,3.0,60.0,3.0,0.0,1.0,0.0,14.0,52.1,0.0,491.0,13.0,2/29 v PBKS,0.0,0.0,37.76,9.41,24.07,14.0,kartik tyagi
Aiden Markram,SRH,https://sports.ndtv.com/cricket/players/64634-aiden-kyle-markram-playerprofile,Batsman ,2.6,Aiden Kyle Markram,"October 4, 1994 Centurion","27 Years, 5 Months, 11 Days",South Africa,Right Handed,Off break,IPL,6.0,6.0,1.0,146.0,42 v MI,0.0,0.0,12.0,4.0,29.2,122.68,3.0,0.0,0.0,0.0,2.0,4.0,0.0,23.0,0.0,0/5 v RCB,0.0,0.0,,5.75,,2.0,aiden markram
Sean Abbott,SRH,https://sports.ndtv.com/cricket/players/106719-sean-abbott-playerprofile,Bowler ,2.4,Sean Anthony Abbott,"February 29, 1992 Windsor, New South Wales","30 Years, 0 Months, 15 Days",Australia,Right Handed,Right-arm fast medium,IPL,2.0,2.0,0.0,15.0,14 v SRH,0.0,0.0,1.0,1.0,7.5,115.38,,,0.0,1.0,2.0,5.0,0.0,57.0,0.0,0/21 v SRH,0.0,0.0,,11.4,,2.0,sean abbott
Glenn Phillips,SRH,https://sports.ndtv.com/cricket/players/107472-glenn-phillips-playerprofile,Wicket-Keeper ,1.5,Glenn Dominic Phillips,"December 6, 1996 East London, Eastern Cape","25 Years, 3 Months, 9 Days",New Zealand,Right Handed,Off break,IPL,3.0,3.0,1.0,26.0,14* v CSK,0.0,0.0,1.0,2.0,13.0,78.78,1.0,0.0,0.0,0.0,2.0,2.0,0.0,20.0,1.0,1/17 v KKR,0.0,0.0,20.0,10.0,12.0,2.0,glenn phillips
Shreyas Gopal,SRH,https://sports.ndtv.com/cricket/players/51296-shreyas-gopal-playerprofile,Bowler ,0.75,Shreyas Gopal,"September 4, 1993 Banglaore, Karnataka","28 Years, 6 Months, 11 Days",India,Right Handed,Leg break,IPL,48.0,21.0,7.0,171.0,24 v PBKS,0.0,0.0,17.0,2.0,12.21,105.55,11.0,0.0,4.0,2.0,47.0,155.1,1.0,1247.0,48.0,4/16 v RCB,4.0,0.0,25.97,8.03,19.39,47.0,shreyas gopal
Fazalhaq Farooqi,SRH,https://sports.ndtv.com/cricket/players/112535-fazal-haque-playerprofile,Bowler ,0.5,Fazalhaq Farooqi,"September 22, 2000 Baghlan","21 Years, 5 Months, 23 Days",Afghanistan,Right Handed,Left-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fazalhaq farooqi
Vishnu Vinod,SRH,https://sports.ndtv.com/cricket/players/107531-vishnu-vinod-playerprofile,Wicket-Keeper ,0.5,Vishnu Vinod,"December 2, 1993 Pathanamthitta, Kerala","28 Years, 3 Months, 13 Days",India,Right Handed,,,3.0,3.0,0.0,19.0,9 v DC,0.0,0.0,1.0,1.0,6.33,73.07,0.0,2.0,0.0,1.0,,,,,,,,,,,,,vishnu vinod
Priyam Garg,SRH,https://sports.ndtv.com/cricket/players/110579-priyam-garg-playerprofile,Batsman ,0.2,Priyam K Garg,"November 30, 2000 Meerut, Uttar Pradesh","21 Years, 3 Months, 15 Days",India,Right Handed,Right-arm medium,,19.0,15.0,1.0,205.0,51* v CSK,0.0,1.0,11.0,7.0,14.64,110.81,6.0,0.0,2.0,1.0,,,,,,,,,,,,,priyam garg
Saurabh Dubey,SRH,https://sports.ndtv.com/cricket/players/113468-saurabh-dubey-playerprofile,Bowler ,0.2,Saurabh Dubey,"January 23, 1998 ","24 Years, 1 Months, 20 Days",India,Right Handed,Left-arm medium fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,saurabh dubey
Jagadeesha Suchith,SRH,https://sports.ndtv.com/cricket/players/106726-jagadeesha-suchith-playerprofile,Bowler ,0.2,Jagadeesha Suchith,"January 16, 1994 Mysore","28 Years, 2 Months, -1 Days",India,Left Handed,Slow left-arm orthodox,IPL,17.0,8.0,6.0,68.0,34* v PBKS,0.0,0.0,6.0,3.0,34.0,128.3,9.0,0.0,2.0,1.0,16.0,52.0,0.0,462.0,12.0,2/14 v SRH,0.0,0.0,38.5,8.88,26.0,16.0,jagadeesha suchith
Shashank Singh,SRH,https://sports.ndtv.com/cricket/players/63951-shashank-singh-playerprofile,All-Rounder ,0.2,Shashank Singh,"November 21, 1991 Bhilai","30 Years, 3 Months, 25 Days",India,Right Handed,Off break,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shashank singh
Ravikumar Samarth,SRH,https://sports.ndtv.com/cricket/players/63978-ravikumar-samarth-playerprofile,Batsman ,0.2,Ravikumar Samarth,"January 22, 1993","29 Years, 1 Months, 21 Days",India,,,Cricket,,,,,,,,,,,,,,,,,,,,,,,,,,,,ravikumar samarth
Sanju Samson,RR,https://sports.ndtv.com/cricket/players/1701-sanju-samson-playerprofile,Wicket-Keeper ,14.0,Sanju Viswanath Samson,"November 11, 1994 Pulluvila, Vizhinjam, Trivandrum","27 Years, 4 Months, 4 Days",India,Right Handed,,,121.0,117.0,12.0,3068.0,119 v PBKS,3.0,15.0,236.0,132.0,29.21,134.2,59.0,10.0,8.0,6.0,,,,,,,,,,,,,sanju samson
Prasidh Krishna,RR,https://sports.ndtv.com/cricket/players/107509-prasidh-krishna-playerprofile,Bowler ,10.0,Muralikrishna Prasidh Krishna,"February 19, 1996 Bangalore, Karnataka","26 Years, 0 Months, 25 Days",India,Right Handed,Right-arm medium fast,IPL,34.0,7.0,5.0,3.0,2* v RCB,0.0,0.0,0.0,0.0,1.5,25.0,7.0,0.0,5.0,1.0,34.0,124.2,0.0,1152.0,30.0,4/30 v SRH,2.0,0.0,38.4,9.26,24.86,34.0,prasidh krishna
Jos Buttler,RR,https://sports.ndtv.com/cricket/players/1367-jos-buttler-playerprofile,Wicket-Keeper ,10.0,Joseph Charles Buttler,"September 8, 1990 Taunton, Somerset","31 Years, 6 Months, 7 Days",England,Right Handed,,,65.0,64.0,8.0,1968.0,124 v SRH,1.0,11.0,194.0,90.0,35.14,150.0,34.0,1.0,1.0,3.0,,,,,,,,,,,,,jos buttler
Shimron Hetmyer,RR,https://sports.ndtv.com/cricket/players/107627-shimron-hetmyer-playerprofile,Batsman ,8.5,Shimron Odilon Hetmyer,"December 26, 1996 Cumberland, Berbice","25 Years, 2 Months, 20 Days",West Indies,Left Handed,,,31.0,29.0,9.0,517.0,75 v SRH,0.0,2.0,34.0,31.0,25.85,151.17,14.0,0.0,3.0,2.0,,,,,,,,,,,,,shimron hetmyer
Trent Boult,RR,https://sports.ndtv.com/cricket/players/1061-trent-boult-playerprofile,Bowler ,8.0,Trent Alexander Boult,"July 22, 1989 Rotorua","32 Years, 7 Months, 24 Days",New Zealand,Right Handed,Left-arm fast medium,IPL,62.0,10.0,7.0,13.0,6 v CSK,0.0,0.0,0.0,1.0,4.33,68.42,23.0,0.0,6.0,0.0,62.0,236.1,5.0,1983.0,76.0,4/18 v CSK,5.0,0.0,26.09,8.39,18.64,62.0,trent boult
Devdutt Padikkal,RR,https://sports.ndtv.com/cricket/players/110591-devdutt-padikkal-playerprofile,Batsman ,7.75,Devdutt Babunu Padikkal,"July 7, 2000 Edapal, Kerala","21 Years, 8 Months, 8 Days",India,Left Handed,Off break,,29.0,29.0,1.0,884.0,101* v RR,1.0,6.0,95.0,22.0,31.57,125.03,15.0,0.0,2.0,1.0,,,,,,,,,,,,,devdutt padikkal
Yuzvendra Chahal,RR,https://sports.ndtv.com/cricket/players/1394-yuzvendra-chahal-playerprofile,Bowler ,6.5,Yuzvendra Singh Chahal,"July 23, 1990 Jind, Haryana, India","31 Years, 7 Months, 23 Days",India,Right Handed,Leg break googly,IPL,114.0,18.0,12.0,32.0,8* v CSK,0.0,0.0,0.0,0.0,5.33,41.02,24.0,0.0,5.0,2.0,113.0,408.0,4.0,3097.0,139.0,4/25 v PBKS,9.0,0.0,22.28,7.59,17.61,113.0,yuzvendra chahal
Ravichandran Ashwin,RR,https://sports.ndtv.com/cricket/players/1109-ravichandran-ashwin-playerprofile,All-Rounder ,5.0,Ravichandran Ashwin,"September 17, 1986 Chennai, Tamil Nadu","35 Years, 5 Months, 28 Days",India,Right Handed,Off break,IPL,167.0,63.0,22.0,456.0,45 v KKR,0.0,0.0,37.0,12.0,11.12,109.88,37.0,0.0,15.0,5.0,164.0,583.0,4.0,4031.0,145.0,4/34 v PBKS,6.0,0.0,27.8,6.91,24.12,164.0,ravichandran ashwin
Yashasvi Jaiswal,RR,https://sports.ndtv.com/cricket/players/112646-yashasvi-jaiswal-playerprofile,Batsman ,4.0,Yashasvi Bhupendra Kumar Jaiswal,"December 28, 2001 Suriya, Uttar Pradesh","20 Years, 2 Months, 18 Days",India,Left Handed,Leg break,,13.0,13.0,0.0,289.0,50 v CSK,0.0,1.0,34.0,12.0,22.23,136.32,4.0,0.0,2.0,0.0,,,,,,,,,,,,,yashasvi jaiswal
